id,title,description,link,brand,gtin,mpn,image_link,additional_image_link,video_link,model_3d_link,condition,google_product_category,product_category,age_group,material,length,width,height,weight,item_group_id,item_group_title,color,size,size_system,gender,availability,availability_date,expiration_date,inventory_not_tracked,inventory_quantity,price,sale_price,sale_price_effective_date,stripe_product_tax_code,tax_behavior,applicable_fees,shipping,free_shipping_threshold,delete
FAF-CAND-0001,Nova Beeswax Candle,"The Nova Beeswax Candle from Fern & Field, crafted in soy wax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0001,Fernwood,,FAF-CAND-0001,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-1.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.32 lb,FAF-CAND-GRP-001,Candles,,,,unisex,in_stock,,,,126,18.70 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
FAF-CAND-0002,Luxe Beeswax Candle,"The Luxe Beeswax Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0002,Fernwood,,FAF-CAND-0002,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-2.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Beeswax,4 in,4 in,5 in,1.18 lb,FAF-CAND-GRP-001,Candles,,,,unisex,in_stock,,,,178,20.45 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
FAF-CAND-0003,Minimalist Soy Candle,"The Minimalist Soy Candle from Fern & Field, crafted in soy wax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0003,Field & Co.,,FAF-CAND-0003,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-3.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.14 lb,FAF-CAND-GRP-002,Candles,,,,unisex,in_stock,,,,90,28.18 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
FAF-CAND-0004,Aero Soy Candle,"The Aero Soy Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0004,Field & Co.,,FAF-CAND-0004,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-4.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Beeswax,4 in,4 in,5 in,1.24 lb,FAF-CAND-GRP-002,Candles,,,,unisex,in_stock,,,,237,25.22 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
FAF-CAND-0005,Featherlight Wood-Wick Candle,"The Featherlight Wood-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0005,Field & Co.,,FAF-CAND-0005,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-5.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Beeswax,4 in,4 in,5 in,1.1 lb,FAF-CAND-GRP-003,Candles,,,,unisex,in_stock,,,,24,41.16 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
FAF-CAND-0006,Rugged 3-Wick Candle,"The Rugged 3-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0006,Fern & Field,,FAF-CAND-0006,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-1.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Beeswax,4 in,4 in,5 in,1.3 lb,FAF-CAND-GRP-003,Candles,,,,unisex,in_stock,,,,49,27.51 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
FAF-CAND-0007,Nova Wood-Wick Candle,"The Nova Wood-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0007,Field & Co.,,FAF-CAND-0007,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-2.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Beeswax,4 in,4 in,5 in,1.13 lb,FAF-CAND-GRP-004,Candles,,,,unisex,in_stock,,,,15,39.17 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
FAF-CAND-0008,Everyday Wood-Wick Candle,"The Everyday Wood-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0008,Fern & Field,,FAF-CAND-0008,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-3.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Beeswax,4 in,4 in,5 in,1.08 lb,FAF-CAND-GRP-004,Candles,,,,unisex,in_stock,,,,30,34.64 USD,28.17 USD,2026-07-01/2026-12-31,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
FAF-CAND-0009,Urban Wood-Wick Candle,"The Urban Wood-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0009,Fernwood,,FAF-CAND-0009,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-4.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Beeswax,4 in,4 in,5 in,1.21 lb,FAF-CAND-GRP-005,Candles,,,,unisex,in_stock,,,,96,37.97 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
FAF-CAND-0010,Heritage Wood-Wick Candle,"The Heritage Wood-Wick Candle from Fern & Field, crafted in soy wax, fills the room with a warm, inviting scent.",https://livgpt.vercel.app/?merchant=fern-and-field&product=FAF-CAND-0010,Fern & Field,,FAF-CAND-0010,https://livgpt.vercel.app/mock-catalog/images/fern-and-field/candles-5.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.15 lb,FAF-CAND-GRP-005,Candles,,,,unisex,in_stock,,,,193,20.17 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
