id,title,description,link,image_link,additional_image_link,availability,price,sale_price,brand,gtin,mpn,condition,google_product_category,product_type,item_group_id,color,size,material,quantity
MT-CARR-0001,Nova Underseat Bag,"The Nova Underseat Bag from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0001,/mock-catalog/images/meridian-travel/carryons-1.png,,in_stock,305.77 USD,,Meridian Carry,,MT-CARR-0001,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-001,,,Polycarbonate,214
MT-CARR-0002,Nova Softside Carry-On,"The Nova Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0002,/mock-catalog/images/meridian-travel/carryons-2.png,,in_stock,146.22 USD,124.82 USD,Meridian,,MT-CARR-0002,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-001,,,Polycarbonate,238
MT-CARR-0003,Modern Underseat Bag,"The Modern Underseat Bag from Meridian Travel Co., crafted in ballistic nylon, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0003,/mock-catalog/images/meridian-travel/carryons-3.png,,in_stock,183.34 USD,141.22 USD,Meridian Carry,,MT-CARR-0003,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-002,,,Ballistic Nylon,24
MT-CARR-0004,Classic Softside Carry-On,"The Classic Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0004,/mock-catalog/images/meridian-travel/carryons-4.png,,in_stock,182.93 USD,138.12 USD,Meridian Journey,,MT-CARR-0004,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-002,,,Polycarbonate,62
MT-CARR-0005,Heritage Softside Carry-On,"The Heritage Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0005,/mock-catalog/images/meridian-travel/carryons-5.png,,in_stock,159.46 USD,,Meridian Journey,,MT-CARR-0005,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-003,,,Polycarbonate,86
MT-CARR-0006,Premium Softside Carry-On,"The Premium Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0006,/mock-catalog/images/meridian-travel/carryons-1.png,,in_stock,195.09 USD,,Meridian Carry,,MT-CARR-0006,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-003,,,Polycarbonate,58
MT-CARR-0007,Essential Softside Carry-On,"The Essential Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0007,/mock-catalog/images/meridian-travel/carryons-2.png,,in_stock,184.80 USD,,Meridian Journey,,MT-CARR-0007,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-004,,,Polycarbonate,179
MT-CARR-0008,Trail Hardshell Carry-On,"The Trail Hardshell Carry-On from Meridian Travel Co., crafted in ballistic nylon, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0008,/mock-catalog/images/meridian-travel/carryons-3.png,,in_stock,100.98 USD,,Meridian Journey,,MT-CARR-0008,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-004,,,Ballistic Nylon,82
MT-CARR-0009,Aero Underseat Bag,"The Aero Underseat Bag from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0009,/mock-catalog/images/meridian-travel/carryons-4.png,,in_stock,178.82 USD,,Meridian Carry,,MT-CARR-0009,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-005,,,Polycarbonate,54
MT-CARR-0010,Aero Hardshell Carry-On,"The Aero Hardshell Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0010,/mock-catalog/images/meridian-travel/carryons-5.png,,in_stock,323.29 USD,,Meridian,,MT-CARR-0010,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-005,,,Polycarbonate,13
MT-CARR-0011,Premium Hardshell Carry-On,"The Premium Hardshell Carry-On from Meridian Travel Co., crafted in ballistic nylon, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0011,/mock-catalog/images/meridian-travel/carryons-1.png,,in_stock,141.49 USD,,Meridian,,MT-CARR-0011,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-006,,,Ballistic Nylon,224
MT-CARR-0012,Terra Spinner Suitcase,"The Terra Spinner Suitcase from Meridian Travel Co., crafted in ballistic nylon, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0012,/mock-catalog/images/meridian-travel/carryons-2.png,,in_stock,260.07 USD,,Meridian Journey,,MT-CARR-0012,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-006,,,Ballistic Nylon,72
MT-CARR-0013,Studio Spinner Suitcase,"The Studio Spinner Suitcase from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0013,/mock-catalog/images/meridian-travel/carryons-3.png,,in_stock,234.67 USD,,Meridian Carry,,MT-CARR-0013,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-007,,,Polycarbonate,134
MT-CARR-0014,Essential Spinner Suitcase,"The Essential Spinner Suitcase from Meridian Travel Co., crafted in ballistic nylon, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0014,/mock-catalog/images/meridian-travel/carryons-4.png,,in_stock,281.34 USD,,Meridian,,MT-CARR-0014,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-007,,,Ballistic Nylon,29
MT-CARR-0015,Rugged Underseat Bag,"The Rugged Underseat Bag from Meridian Travel Co., crafted in ballistic nylon, cabin-sized, durable, and built for frequent flyers.",https://meridian-travel.example.com/products/mt-carr-0015,/mock-catalog/images/meridian-travel/carryons-5.png,,in_stock,313.30 USD,,Meridian Carry,,MT-CARR-0015,new,Luggage & Bags > Suitcases,Luggage > Carry-On,MT-CARR-GRP-008,,,Ballistic Nylon,174
MT-BACK-0016,Everyday Convertible Pack,"The Everyday Convertible Pack from Meridian Travel Co., crafted in recycled nylon, organized, durable, and ready for the daily commute.",https://meridian-travel.example.com/products/mt-back-0016,/mock-catalog/images/meridian-travel/backpacks-1.png,,in_stock,160.73 USD,,Meridian,,MT-BACK-0016,new,Luggage & Bags > Backpacks,Bags > Backpacks,MT-BACK-GRP-001,,,Recycled Nylon,236
MT-BACK-0017,Studio Convertible Pack,"The Studio Convertible Pack from Meridian Travel Co., crafted in waxed canvas, organized, durable, and ready for the daily commute.",https://meridian-travel.example.com/products/mt-back-0017,/mock-catalog/images/meridian-travel/backpacks-2.png,,in_stock,145.53 USD,,Meridian,,MT-BACK-0017,new,Luggage & Bags > Backpacks,Bags > Backpacks,MT-BACK-GRP-001,,,Waxed Canvas,190
MT-BACK-0018,Essential Daypack,"The Essential Daypack from Meridian Travel Co., crafted in recycled nylon, organized, durable, and ready for the daily commute.",https://meridian-travel.example.com/products/mt-back-0018,/mock-catalog/images/meridian-travel/backpacks-3.png,,in_stock,163.73 USD,144.46 USD,Meridian Carry,,MT-BACK-0018,new,Luggage & Bags > Backpacks,Bags > Backpacks,MT-BACK-GRP-002,,,Recycled Nylon,225
MT-BACK-0019,Pro Travel Backpack,"The Pro Travel Backpack from Meridian Travel Co., crafted in recycled nylon, organized, durable, and ready for the daily commute.",https://meridian-travel.example.com/products/mt-back-0019,/mock-catalog/images/meridian-travel/backpacks-4.png,,in_stock,130.60 USD,,Meridian Journey,,MT-BACK-0019,new,Luggage & Bags > Backpacks,Bags > Backpacks,MT-BACK-GRP-002,,,Recycled Nylon,198
MT-BACK-0020,Modern Travel Backpack,"The Modern Travel Backpack from Meridian Travel Co., crafted in waxed canvas, organized, durable, and ready for the daily commute.",https://meridian-travel.example.com/products/mt-back-0020,/mock-catalog/images/meridian-travel/backpacks-5.png,,in_stock,122.71 USD,,Meridian,,MT-BACK-0020,new,Luggage & Bags > Backpacks,Bags > Backpacks,MT-BACK-GRP-003,,,Waxed Canvas,152
MT-BACK-0021,Urban Travel Backpack,"The Urban Travel Backpack from Meridian Travel Co., crafted in waxed canvas, organized, durable, and ready for the daily commute.",https://meridian-travel.example.com/products/mt-back-0021,/mock-catalog/images/meridian-travel/backpacks-1.png,,in_stock,116.33 USD,,Meridian Journey,,MT-BACK-0021,new,Luggage & Bags > Backpacks,Bags > Backpacks,MT-BACK-GRP-003,,,Waxed Canvas,148
