id,title,description,link,brand,gtin,mpn,image_link,additional_image_link,video_link,model_3d_link,condition,google_product_category,product_category,age_group,material,length,width,height,weight,item_group_id,item_group_title,color,size,size_system,gender,availability,availability_date,expiration_date,inventory_not_tracked,inventory_quantity,price,sale_price,sale_price_effective_date,stripe_product_tax_code,tax_behavior,applicable_fees,shipping,free_shipping_threshold,delete
MT-CARR-0001,Nova Underseat Bag – White,"The Nova Underseat Bag from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers. Shown in White.",https://meridian-travel.example.com/products/mt-carr-0001,Meridian Carry,,MT-CARR-0001,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-1.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Polycarbonate,8 in,6 in,4 in,1.04 lb,MT-CARR-GRP-001,Carry-On,White,,,unisex,in_stock,,,,214,305.77 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
MT-CARR-0002,Nova Softside Carry-On – Olive,"The Nova Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers. Shown in Olive.",https://meridian-travel.example.com/products/mt-carr-0002,Meridian,,MT-CARR-0002,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-2.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Polycarbonate,8 in,6 in,4 in,0.94 lb,MT-CARR-GRP-001,Carry-On,Olive,,,unisex,out_of_stock,,,,238,146.22 USD,124.82 USD,2026-07-01/2026-12-31,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
MT-CARR-0003,Modern Underseat Bag – Slate Gray,"The Modern Underseat Bag from Meridian Travel Co., crafted in ballistic nylon, cabin-sized, durable, and built for frequent flyers. Shown in Slate Gray.",https://meridian-travel.example.com/products/mt-carr-0003,Meridian Carry,,MT-CARR-0003,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-3.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Ballistic Nylon,8 in,6 in,4 in,0.94 lb,MT-CARR-GRP-002,Carry-On,Slate Gray,,,unisex,in_stock,,,,24,183.34 USD,141.22 USD,2026-07-01/2026-12-31,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
MT-CARR-0004,Classic Softside Carry-On – Terracotta,"The Classic Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers. Shown in Terracotta.",https://meridian-travel.example.com/products/mt-carr-0004,Meridian Journey,,MT-CARR-0004,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-4.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Polycarbonate,8 in,6 in,4 in,0.95 lb,MT-CARR-GRP-002,Carry-On,Terracotta,,,unisex,in_stock,,,,62,182.93 USD,138.12 USD,2026-07-01/2026-12-31,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
MT-CARR-0005,Heritage Softside Carry-On – Sky Blue,"The Heritage Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers. Shown in Sky Blue.",https://meridian-travel.example.com/products/mt-carr-0005,Meridian Journey,,MT-CARR-0005,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-5.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Polycarbonate,8 in,6 in,4 in,1.07 lb,MT-CARR-GRP-003,Carry-On,Sky Blue,,,unisex,in_stock,,,,86,159.46 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
MT-CARR-0006,Premium Softside Carry-On – Black,"The Premium Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers. Shown in Black.",https://meridian-travel.example.com/products/mt-carr-0006,Meridian Carry,,MT-CARR-0006,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-1.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Polycarbonate,8 in,6 in,4 in,1.0 lb,MT-CARR-GRP-003,Carry-On,Black,,,unisex,in_stock,,,,58,195.09 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
MT-CARR-0007,Essential Softside Carry-On – Black,"The Essential Softside Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers. Shown in Black.",https://meridian-travel.example.com/products/mt-carr-0007,Meridian Journey,,MT-CARR-0007,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-2.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Polycarbonate,8 in,6 in,4 in,1.04 lb,MT-CARR-GRP-004,Carry-On,Black,,,unisex,in_stock,,,,179,184.80 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
MT-CARR-0008,Trail Hardshell Carry-On – Sky Blue,"The Trail Hardshell Carry-On from Meridian Travel Co., crafted in ballistic nylon, cabin-sized, durable, and built for frequent flyers. Shown in Sky Blue.",https://meridian-travel.example.com/products/mt-carr-0008,Meridian Journey,,MT-CARR-0008,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-3.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Ballistic Nylon,8 in,6 in,4 in,0.98 lb,MT-CARR-GRP-004,Carry-On,Sky Blue,,,unisex,in_stock,,,,82,100.98 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
MT-CARR-0009,Aero Underseat Bag – Sky Blue,"The Aero Underseat Bag from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers. Shown in Sky Blue.",https://meridian-travel.example.com/products/mt-carr-0009,Meridian Carry,,MT-CARR-0009,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-4.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Polycarbonate,8 in,6 in,4 in,1.04 lb,MT-CARR-GRP-005,Carry-On,Sky Blue,,,unisex,in_stock,,,,54,178.82 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
MT-CARR-0010,Aero Hardshell Carry-On – Charcoal,"The Aero Hardshell Carry-On from Meridian Travel Co., crafted in polycarbonate, cabin-sized, durable, and built for frequent flyers. Shown in Charcoal.",https://meridian-travel.example.com/products/mt-carr-0010,Meridian,,MT-CARR-0010,https://livgpt.vercel.app/mock-catalog/images/meridian-travel/carryons-5.png,,,,new,Luggage & Bags > Suitcases,Luggage > Carry-On,adult,Polycarbonate,8 in,6 in,4 in,1.08 lb,MT-CARR-GRP-005,Carry-On,Charcoal,,,unisex,in_stock,,,,13,323.29 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
