id,title,description,link,image_link,additional_image_link,availability,price,sale_price,brand,gtin,mpn,condition,google_product_category,product_type,item_group_id,color,size,material,quantity
SO-BOTT-0001,Terra Collapsible Bottle – Navy,"The Terra Collapsible Bottle from Summit Outdoors, crafted in stainless steel, leak-proof and built for long days outside. Shown in Navy.",https://summit-outdoors.example.com/products/so-bott-0001,/mock-catalog/images/summit-outdoors/bottles-1.png,,out_of_stock,27.06 USD,,Summit,,SO-BOTT-0001,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-001,Navy,,Stainless Steel,156
SO-BOTT-0002,Studio Hydration Flask – Charcoal,"The Studio Hydration Flask from Summit Outdoors, crafted in bpa-free plastic, leak-proof and built for long days outside. Shown in Charcoal.",https://summit-outdoors.example.com/products/so-bott-0002,/mock-catalog/images/summit-outdoors/bottles-2.png,,in_stock,24.75 USD,,Summit Trail,,SO-BOTT-0002,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-001,Charcoal,,BPA-Free Plastic,212
SO-BOTT-0003,Featherlight Collapsible Bottle – Navy,"The Featherlight Collapsible Bottle from Summit Outdoors, crafted in bpa-free plastic, leak-proof and built for long days outside. Shown in Navy.",https://summit-outdoors.example.com/products/so-bott-0003,/mock-catalog/images/summit-outdoors/bottles-3.png,,in_stock,53.41 USD,,Summit Trail,,SO-BOTT-0003,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-002,Navy,,BPA-Free Plastic,135
SO-BOTT-0004,Rugged Hydration Flask – Sky Blue,"The Rugged Hydration Flask from Summit Outdoors, crafted in stainless steel, leak-proof and built for long days outside. Shown in Sky Blue.",https://summit-outdoors.example.com/products/so-bott-0004,/mock-catalog/images/summit-outdoors/bottles-1.png,,in_stock,39.42 USD,,Summit Peak,,SO-BOTT-0004,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-002,Sky Blue,,Stainless Steel,203
SO-BOTT-0005,Urban Wide-Mouth Bottle – Sky Blue,"The Urban Wide-Mouth Bottle from Summit Outdoors, crafted in stainless steel, leak-proof and built for long days outside. Shown in Sky Blue.",https://summit-outdoors.example.com/products/so-bott-0005,/mock-catalog/images/summit-outdoors/bottles-2.png,,in_stock,57.13 USD,,Summit Peak,,SO-BOTT-0005,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-003,Sky Blue,,Stainless Steel,107
SO-BOTT-0006,Modern Collapsible Bottle – Terracotta,"The Modern Collapsible Bottle from Summit Outdoors, crafted in bpa-free plastic, leak-proof and built for long days outside. Shown in Terracotta.",https://summit-outdoors.example.com/products/so-bott-0006,/mock-catalog/images/summit-outdoors/bottles-3.png,,in_stock,49.67 USD,,Summit,,SO-BOTT-0006,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-003,Terracotta,,BPA-Free Plastic,108
SO-BOTT-0007,Minimalist Collapsible Bottle – Forest Green,"The Minimalist Collapsible Bottle from Summit Outdoors, crafted in stainless steel, leak-proof and built for long days outside. Shown in Forest Green.",https://summit-outdoors.example.com/products/so-bott-0007,/mock-catalog/images/summit-outdoors/bottles-1.png,,in_stock,30.70 USD,,Summit,,SO-BOTT-0007,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-004,Forest Green,,Stainless Steel,113
SO-BOTT-0008,Luxe Hydration Flask – Terracotta,"The Luxe Hydration Flask from Summit Outdoors, crafted in stainless steel, leak-proof and built for long days outside. Shown in Terracotta.",https://summit-outdoors.example.com/products/so-bott-0008,/mock-catalog/images/summit-outdoors/bottles-2.png,,in_stock,34.44 USD,,Summit,,SO-BOTT-0008,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-004,Terracotta,,Stainless Steel,217
SO-BOTT-0009,Rugged Insulated Bottle – Black,"The Rugged Insulated Bottle from Summit Outdoors, crafted in stainless steel, leak-proof and built for long days outside. Shown in Black.",https://summit-outdoors.example.com/products/so-bott-0009,/mock-catalog/images/summit-outdoors/bottles-3.png,,in_stock,53.98 USD,,Summit Peak,,SO-BOTT-0009,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-005,Black,,Stainless Steel,73
SO-BOTT-0010,Urban Collapsible Bottle – Blush Pink,"The Urban Collapsible Bottle from Summit Outdoors, crafted in stainless steel, leak-proof and built for long days outside. Shown in Blush Pink.",https://summit-outdoors.example.com/products/so-bott-0010,/mock-catalog/images/summit-outdoors/bottles-1.png,,in_stock,57.57 USD,,Summit Peak,,SO-BOTT-0010,new,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Water Bottles,Drinkware > Water Bottles,SO-BOTT-GRP-005,Blush Pink,,Stainless Steel,130
