id,title,description,link,image_link,additional_image_link,availability,price,sale_price,brand,gtin,mpn,condition,google_product_category,product_type,item_group_id,color,size,material,quantity
FAF-CAND-0001,Nova Beeswax Candle,"The Nova Beeswax Candle from Fern & Field, crafted in soy wax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0001,/mock-catalog/images/fern-and-field/candles-1.png,,in_stock,18.70 USD,,Fernwood,,FAF-CAND-0001,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-001,,,Soy Wax,126
FAF-CAND-0002,Luxe Beeswax Candle,"The Luxe Beeswax Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0002,/mock-catalog/images/fern-and-field/candles-2.png,,in_stock,20.45 USD,,Fernwood,,FAF-CAND-0002,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-001,,,Beeswax,178
FAF-CAND-0003,Minimalist Soy Candle,"The Minimalist Soy Candle from Fern & Field, crafted in soy wax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0003,/mock-catalog/images/fern-and-field/candles-3.png,,in_stock,28.18 USD,,Field & Co.,,FAF-CAND-0003,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-002,,,Soy Wax,90
FAF-CAND-0004,Aero Soy Candle,"The Aero Soy Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0004,/mock-catalog/images/fern-and-field/candles-4.png,,in_stock,25.22 USD,,Field & Co.,,FAF-CAND-0004,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-002,,,Beeswax,237
FAF-CAND-0005,Featherlight Wood-Wick Candle,"The Featherlight Wood-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0005,/mock-catalog/images/fern-and-field/candles-5.png,,in_stock,41.16 USD,,Field & Co.,,FAF-CAND-0005,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-003,,,Beeswax,24
FAF-CAND-0006,Rugged 3-Wick Candle,"The Rugged 3-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0006,/mock-catalog/images/fern-and-field/candles-1.png,,in_stock,27.51 USD,,Fern & Field,,FAF-CAND-0006,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-003,,,Beeswax,49
FAF-CAND-0007,Nova Wood-Wick Candle,"The Nova Wood-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0007,/mock-catalog/images/fern-and-field/candles-2.png,,in_stock,39.17 USD,,Field & Co.,,FAF-CAND-0007,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-004,,,Beeswax,15
FAF-CAND-0008,Everyday Wood-Wick Candle,"The Everyday Wood-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0008,/mock-catalog/images/fern-and-field/candles-3.png,,in_stock,34.64 USD,28.17 USD,Fern & Field,,FAF-CAND-0008,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-004,,,Beeswax,30
FAF-CAND-0009,Urban Wood-Wick Candle,"The Urban Wood-Wick Candle from Fern & Field, crafted in beeswax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0009,/mock-catalog/images/fern-and-field/candles-4.png,,in_stock,37.97 USD,,Fernwood,,FAF-CAND-0009,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-005,,,Beeswax,96
FAF-CAND-0010,Heritage Wood-Wick Candle,"The Heritage Wood-Wick Candle from Fern & Field, crafted in soy wax, fills the room with a warm, inviting scent.",https://fern-and-field.example.com/products/faf-cand-0010,/mock-catalog/images/fern-and-field/candles-5.png,,in_stock,20.17 USD,,Fern & Field,,FAF-CAND-0010,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,FAF-CAND-GRP-005,,,Soy Wax,193
